Org Name,Endpoint,Audience,Route
 Baldwin Family Medicine ,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10044205,Provider,Direct
A Kagan Orthopedics  Sports Medicine,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/1421,Provider,Direct
A Squared Primary Care PLLC,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10171749,Provider,Direct
ABC Pediatrics,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10031312,Provider,Direct
Abdul S Thannoun Md,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/75114,Provider,Direct
About Women Ob/Gyn P C,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10039435,Provider,Direct
Abraham Medical Clinic,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10027358,Provider,Direct
Abw Pediatric Assoc,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/76856,Provider,Direct
Academic Urology and Urogynecology of Arizona,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10049336,Provider,Direct
Accent Family Healthcare,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/1700131A,Provider,Direct
Ace Cardiovascular Associates LLC,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/1700027C,Provider,Direct
ACE East Test DB,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/ACEETest,Provider,Direct
Adam N Bender MD,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10981429,Provider,Direct
Adams  Stephens PA,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/73916G,Provider,Direct
Adnan Kaleli Md PC,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/61980,Provider,Direct
Adobe Medical Group Inc,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/73406,Provider,Direct
Adolfo C FernandezObregon Md,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/76777,Provider,Direct
Advanced Allergy Assoc of NM,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10085611,Provider,Direct
Advanced Cardiovascular Center,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10032404,Provider,Direct
Advanced Dermatology P.C.,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/77639,Provider,Direct
Advanced Health and Wellness,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/11468841,Provider,Direct
Advanced Health and Wellness,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/11468841,Provider,Direct
Advanced Neurology,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/73073,Provider,Direct
Advanced Pain and Spine,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10090410,Provider,Direct
Advanced Pain Care Medical Pc,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/73674,Provider,Direct
Advanced Pain Management Center  Inc,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10044412,Provider,Direct
ADVANCED REHABILITATION MEDICINE LLC,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10552842,Provider,Direct
Advanced Surgeons Pc,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10838843,Provider,Direct
Advanced Urologic Surgeons,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/73531,Provider,Direct
Advanced Urology Assoc,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10052082,Provider,Direct
Advanced Urology Inc,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/57952,Provider,Direct
Advanced Urology Institute LLC,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/11288849,Provider,Direct
Agha Arthritis Assoc Pa,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/58406,Provider,Direct
Ahoskie Medical Practice,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10827849,Provider,Direct
AIENT Management Company  LLC,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10031501,Provider,Direct
Aiken Physicians Alliance Internal Medicine,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10051236,Provider,Direct
Airport Family Physicians,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/7339,Provider,Direct
Alabama Medical Group  P.C.,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10021904,Provider,Direct
Alabama Neurology & Sleep Medicine,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/57850,Provider,Direct
Alabama Orthopedic Institute  Inc,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/74520,Provider,Direct
Alamo Foot Center,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/73757,Provider,Direct
Alamo Neurosurgical Institute Pa,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/57331,Provider,Direct
Alan J. Appley,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10008925,Provider,Direct
Albany Urology Clinic and Surgery Center,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/11228842,Provider,Direct
Albert Tydings MD,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10030976,Provider,Direct
Aldo A Parodi Md Pa,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/76821,Provider,Direct
Alexander Chun Md,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/77206,Provider,Direct
Alexandria Primary Care,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10023171,Provider,Direct
Alfred J Rodriguez Md,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10067482,Provider,Direct
Ali H Mahmood MD  PLC,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10064321,Provider,Direct
All About Womens Care,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/74565,Provider,Direct
Allameh Medical Corp.Physician,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10051582,Provider,Direct
AllCare Medical Group - Douglas,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10359851,Provider,Direct
AllCare Medical Group - Greater Glendale,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10359848,Provider,Direct
AllCare Medical Group - Rogue,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10359849,Provider,Direct
AllCare Medical Group  LLC,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10359845,Provider,Direct
Allcare TEST,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10359843T,Provider,Direct
Allen Orthopedics Pa,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/0006195,Provider,Direct
Allen Rosenbuam Md,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/77532,Provider,Direct
Allergy & Asthma Specialists Of North Florida  P.A.,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10034273,Provider,Direct
Allergy and Asthma Center Of The Rockies,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/70893,Provider,Direct
Allergy Assoc Of NH,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10030374,Provider,Direct
Allergy Asthma and Immunology Ctr Of Ak,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/69103,Provider,Direct
Allergy Asthma Care,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/56854,Provider,Direct
Allergy Asthma Immunology of the Rockies,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/60222,Provider,Direct
ALLERGY  ASTHMA AND SINUS CENTER P.C.,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10052501,Provider,Direct
Allergy  Asthma  Sinus Center,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10021407,Provider,Direct
Alley Medical Center,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/57844,Provider,Direct
Alliance Xpress Care LLC,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10129099,Provider,Direct
Alma Medical Group,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/76027,Provider,Direct
Alonzo Flores Md Dba Orange Family,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/73542,Provider,Direct
